preferredLabel,altLabels,skillType,reuseLevel,description,broaderConceptPT
protect ICT devices,take care of ICT devices | MailWasher Pro | use anti-virus software | protect ICT devices | Honeywell Managed Access Control | keep ICT devices safe | Tyco Integrated Security Managed Access Control | AVG Anti-Virus | Zone Alarm Firewall | protect information and communication technologies devices | Kingsoft Antivirus | set up passwords and private settings | Bitdefender Antivirus | AVS Firewall | protect personal data | AddTech Controls | IDenticard Systems PremiSys | ESET NOD32 Antivirus | protect ICT device | Agnitum Outpost Firewall | up-date online security measures | SPAMfighter | CleanMail Home | Norton Security Deluxe | Matrix Systems Access Control | implement SPAM-ware | Kaspersky Anti-Virus | McAfee AntiVirus | safeguard ICT devices | implement private ICT user security measures | ADT Access Control | Cloudmark DesktopOne Pro,skill/competence,cross-sector,"Protect devices and digital content, and understand risks and threats in digital environments. Know about safety and security measures and have due regard to reliability and privacy. Make use of tools and methods which maximise security of ICT devices and information by controlling access, such as passwords, digital signatures, biometry, and protecting systems such as firewall, antivirus, spam filters.",protecting ict devices | ICT safety
"browse, search and filter data, information and digital content","browse, search and filter data, information and digital content",skill/competence,cross-sector,"Articulate information needs, search for data, information and content in digital environments, access them and navigate between them. Create and update personal search strategies.","digital data processing | browsing, searching and filtering digital data"
digital content creation,content created by ICT software | ICT software content-creation | content creation with ICT software | digital content creation | content-creation with ICT program | content-creation with ICT softwares,,,"Create and edit new content (from word processing to images and video); integrate and re-elaborate previous knowledge and content; produce creative expressions, media outputs and programming; deal with and apply intellectual property rights and licences.",using digital tools for collaboration and productivity
Haskell,Haskell,knowledge,sector-specific,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Haskell.",computer programming | software and applications development and analysis
Incremental development,Incremental development,knowledge,sector-specific,The incremental development model is a methodology to design software systems and applications.,ICT project management methodologies | software and applications development and analysis
KDevelop,KDevelop 4.7.0 | KDevelop 4.6.0 | KDevelop 4.0.0 | KDevelop | KDevelop 5.0.0,knowledge,sector-specific,"The computer program KDevelop is a suite of software development tools for writing programs, such as compiler, debugger, code editor, code highlights, packaged in a unified user interface. It is developed by the software community KDE.",database and network design and administration | integrated development environment software
Absorb (learning management systems),Absorb,knowledge,sector-specific,"The learning system Absorb is an e-learning platform for creating, administrating and delivering e-learning education courses or training programs for secondary school students.",learning management systems | database and network design and administration
migrate existing data,migrate existing data,skill/competence,sector-specific,"Apply migration and conversion methods for existing data, in order to transfer or convert data between formats, storage or computer systems.","managing, gathering and storing digital data"
define database physical structure,define database physical structure | define database physical storage structure,skill/competence,sector-specific,"Specify the physical configuration of database files on a given media. This consists of in-detail specifications of indexing options, data types and data elements placed in the data dictionary.","managing, gathering and storing digital data"
Maltego,Maltego,knowledge,sector-specific,"The platform Maltego is a forensic application that uses data mining to deliver on overview of organisations' environment, testing security weaknesses of the system for potentially unauthorised access and demonstrates the complexity of infrastructure failures.",penetration testing tool | software and applications development and analysis
operate radio equipment,facilitate use of radio devices | set up and maintain radio equipment | oversee the use of radio equipment | operate radio devices | set up and maintain radio devices | use radio equipment | use radio devices | utilise radio devices | operate radio equipment | oversee the use of radio devices | facilitate use of radio equipment | utilise radio equipment,skill/competence,cross-sector,"Set up and operate radio devices and accessories, such as broadcast consoles, amplifiers, and microphones. Understand the basics of radio operator language and, when necessary, provide instruction in handling radio equipment correctly.",operating communications equipment | coordinate remote communications
Erlang,Erlang,knowledge,sector-specific,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Erlang.",software and applications development and analysis | computer programming
manage ICT data classification,manage ICT data classification,skill/competence,sector-specific,Oversee the classification system an organisation uses to organise its data. Assign an owner to each data concept or bulk of concepts and determine the value of each item of data.,"managing, gathering and storing digital data | manage ICT data architecture"
information structure,information structure,knowledge,sector-specific,"The type of infrastructure which defines the format of data: semi-structured, unstructured and structured.",database and network design and administration
manage temporary ICT networks for live performance,,skill/competence,occupation-specific,"Manage the set-up of networks for distribution of control signals for performing art and event applications. Coordinates with the different users. Defines and sets-up the equipment, cables, connections and devices. Configures, tests and monitors equipment and performance of the network. Control signals include for example DMX, RDM, MIDI, Timecode, tracking and positioning data, but also audio, video and positioning signals. ",setting up computer systems
keep up with digital transformation of industrial processes,keep up to date with digital transformation of industrial processes | follow digital transformation of industry | follow digital transformation of industrial processes | keep pace with digital transformation of industrial processes | keep up with digital transformation of industrial processes | keep up with digital transformation of industry,skill/competence,sector-specific,Keep up to date with digital innovations applicable to industrial processes. Integrate these transformations in the company's processes aiming for competitive and profitable business models.,monitoring developments in area of expertise
set up office equipment,setting up office equipment | furnish office equipment | set up equipment for offices | supply office equipment | set up office equipment,skill/competence,occupation-specific,"Connect office equipment, such as modems, scanners and printers, to the electricity network and perform electrical bonding to avoid dangerous potential differences. Test the installation for proper functioning. Monitor settings and prepare the appliance for usage.",performing general clerical and administrative tasks
SAS language,SAS language,knowledge,sector-specific,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in SAS language.",software and applications development and analysis | computer programming | statistical analysis system software
use an application-specific interface,application-specific interface operating | use an application-specific interface | application-specific interface using | operate an application-specific interface | use an interface specific to the application | using an application-specific interface | operating an interface specific to the application | operating an application-specific interface | using an interface specific to the application | operate an interface specific to the application,skill/competence,sector-specific,Understand and use interfaces particular to an application or use case.,working with computers
design electrical systems,designing electrical systems | design electrical systems | electrical system drawing | electrical systems designing | draw electrical systems | electrical systems drawing | electrical system designing | drawing electrical systems,skill/competence,cross-sector,"Draft sketches and design electrical systems, products, and components using Computer Aided Design (CAD) software and equipment. Draw panel arrangement layouts, electrical schematics, electrical wiring diagrams, and other assembly details.",designing electrical or electronic systems or equipment
define firewall rules,define firewall rules,skill/competence,sector-specific,Specify rules to govern a set of components aiming to limit access between groups of networks or a particular network and the internet.,protecting ict devices
operate warehouse record systems,"maintain records of product, packaging, and order information using warehouse system | log information with warehouse record system | use record systems in warehouses | operate record systems in warehouses | use warehouse record systems | utilise warehouse record systems | record product information using warehouse systems | utilise record systems in warehouses | operate warehouse record systems | record information using warehouse systems",skill/competence,sector-specific,"Operate systems for recording product, packaging, and order information in specific formats and types of record.",perform warehousing operations | maintaining operational records
CryEngine,CryEngine 2 | CryEngine 3 | CryEngine | CryEngine 1,knowledge,sector-specific,"The game engine CryEngine which is a software framework that consists of integrated development environments and specialised design tools, designed for the rapid iteration of user-derived computer games.",digital game creation systems | audio-visual techniques and media production
use CAD for soles,use computer-aided design for soles and heels | use CAD for sole and heels designing | use computer-aided design for soles | employ CAD for sole and heels designing | use CAD for sole designing | employ CAD for soles and heels | employ computer-aided design for soles | use CAD for soles | employ CAD for sole designing | employ computer-aided design for soles and heels | use CAD for soles and heels,skill/competence,sector-specific,"Digitise and scan the lasts. Work with files in various CAD systems. Produce 3D models of soles and create 2D computer aided designs. Grade and obtain the size series. Prepare technical specifications for manufacturing. Produce 2D and 3D computer aided engineering designs and technical drawings of moulds for vulcanised and injected soles. Export the files of the virtual models to 3D printers, CAM or CNC systems.",using computer aided design and drawing tools | use CAD software
create 3D environments,create 3D environments,skill/competence,sector-specific,"Develop a computer-generated 3D representation of a setting such as simulated environment, where the users interact.","operate 3D computer graphics software | designing industrial materials, systems or products"
perform online data analysis,performing an online data analysis | performing online data analysis | undertake online data analysis | perform an online data analysis | perform online data analysis | complete online data analysis | implement online data analysis,skill/competence,cross-sector,"Analyse online experiences and online data for purposes of understanding user behaviour, triggers of online attention, and other factors that could optimise webpage development and exposure.","process qualitative information | perform data analysis | managing, gathering and storing digital data"
manage IT security compliances,manage IT security compliances,skill/competence,sector-specific,"Guide application and fulfilment of relevant industry standards, best practices and legal requirements for information security.","managing, gathering and storing digital data"
keywords in digital content,keywords in digital content,knowledge,sector-specific,The digital tools to conduct keyword research. The information retrieval systems identify the content of a document guided by keywords and metadata.,computer use
model medical devices,medical devices simulating | simulating medical devices | medical device simulating | modelling medical devices | medical device modelling | medical devices modelling | model medical devices | simulate medical devices,skill/competence,sector-specific,Model and simulate medical devices using technical design software.,using computer aided design and drawing tools
use experience map,use experience map,skill/competence,sector-specific,"Examine all the interactions and touchpoints people have with a product, brand or service. Determine key variables such as duration and frequency of every touchpoint.","managing, gathering and storing digital data"
captioning software,captioning software | caption software | captioning plugin | captioning program,knowledge,occupation-specific,"The various software to create captions and subtitles in a file that is merged with the actual footage, such as Telestream and MovieCaptioners.",software and applications development and analysis
normalise data,prepare data | normalize data | perform data pre-processing,skill/competence,sector-specific,"Reduce data to their accurate core form (normal forms) in order to achieve such results as minimisation of dependency, elimination of redundancy, increase of consistency.","managing, gathering and storing digital data | establish data processes"
create prototype of user experience solutions,create prototype of user experience solutions | UX,skill/competence,sector-specific,"Design and prepare mock-ups, prototypes and flows in order to test User Experience (UX) solutions or to collect feedback from users, customers, partners or stakeholders.",managing information
apply system organisational policies,apply system organizational  policies,skill/competence,cross-sector,"Implement internal policies related to the development, internal and external usage of technological systems, such as software systems, network systems and telecommunications systems, in order to achieve a set of goals and targets regarding the efficient operations and growth of an organisation.",demonstrate loyalty | complying with operational procedures | apply company policies
propose ICT solutions to business problems,propose technical solutions to business problems | propose ICT solutions to business problems,skill/competence,cross-sector,"Suggest how to solve business issues, using ICT means, so that business processes are improved.",create solutions to problems | designing ict systems or applications | develop strategy to solve problems | solve technical problems
calculate costs of repair operations,measure costs of repair operations | calculating costs of repair operations | calculate the costs of repair operations | count costs of repair operations | forecast costs of repair operations | tally costs of repair operations | calculate the cost of repair operations,skill/competence,sector-specific,Calculate material and labour costs of repair operations. Understand appropriate computer programmes.,carry out calculations | assess operating cost | estimating resource needs
operate media integration systems,,skill/competence,occupation-specific,"Operate a media integration system for performing art and event applications during setup, configuration, rehearsals and during live performances.",operating audio-visual equipment
WizIQ,WizIQ,knowledge,sector-specific,"The computer program WizIQ is a e-learning platform for creating, administrating, arranging, reporting and delivering e-learning education courses or training programs.",learning management systems | database and network design and administration
administer ICT system,operate system | administer ICT system | administer network and system | administer system,skill/competence,sector-specific,"Handle components of ICT system by maintaining configuration, managing users, monitoring resource use, performing backups and installing hardware or software to comply with the set requirements.",setting up computer systems | maintain ICT system
manage research data,,skill/competence,cross-sector,Produce and analyse scientific data originating from qualitative and quantitative research methods. Store and maintain the data in research databases. Support the re-use of scientific data and be familiar with open data management principles.,managing information
digital printing,digital printings | electronic printing | digital printing,knowledge,sector-specific,"The technique that allows printing a digital-based image directly onto a variety of materials, mostly using inkjet or laser printer.",audio-visual techniques and media production
Cain and Abel (penetration testing tool),Cain and Abel,knowledge,sector-specific,"The software tool Cain and Abel is a password recovery tool which tests the Microsoft Operating System for security weaknesses and potentially unauthorised access to system information. The tool decodes, decrypts and uncovers passwords by means such as brute-force and cryptanalysis attacks, network sniffing and protocols analysis.",penetration testing tool | software and applications development and analysis
systems development life-cycle,systems development life-cycle | application development life-cycle,knowledge,cross-sector,"The sequence of steps, such as planning, creating, testing and deploying and the models for the development and life-cycle management of a system.",software and applications development and analysis
transportation software related to an ERP system,transportation software relating to ERP systems | transportation software related to an ERP programme | transportation software related to ERP operations | transportation software related to ERP administration | transportation software related to an ERP data | transportation software related to an ERP system | transportation software relating to an ERP system | transportation software related to ERP systems,knowledge,cross-sector,"Business management software to collect, manage and interpret data related to shipping, payment, inventory, manufacturing applied in transportation and distribution.",management and administration
operate automated process control,operate automated process controls | operate automated process control | conduct automated process control | undertake automated process control | execute automated process control | operate an automated process control | perform automated process control,skill/competence,cross-sector,Operate process control or automation system (PAS) used to control a production process automatically.,operating precision industrial equipment
manage ICT change request process,manage ICT change request process,skill/competence,sector-specific,"Specify the incentive for an ICT change request, stating which adjustment in the system needs to be accomplished and execute or supervise the execution of it.",directing operational activities
use interface description language,use interface description language,skill/competence,occupation-specific,Utilise specification language for describing interface connection among software components or programs in a programming-language-independent way. The languages which support this method are among others CORBA and WSDL.,design component interfaces | design application interfaces | programming computer systems
plan migration to cloud,plan refactoring | cloud migration planning,skill/competence,sector-specific,"Select existing workloads and processes for potential migration to the cloud and choose migration tools. Determine a new cloud architecture for an existing solution, plan a strategy for migrating existing workloads to the cloud.",manage changes in ICT system | working with computers
use radar navigation,utilise radar navigation equipment | navigate using radar navigation | use radar navigation equipment | ensure vessel safety through radar navigation | operate radar navigation equipment | navigate using radar navigation equipment | employ radar navigation | utilise radar navigation | use radar navigation,skill/competence,sector-specific,Operate modern radar navigation equipment to ensure safe vessel operations.,operate radar equipment | operating communications equipment
implement route planning in smart mobility services,calculate journeys | use route planning software | recommend journeys,skill/competence,sector-specific,"Use specialised search engines such as route planners or journey planners to suggest optimised travel itineraries based of different criteria such as means of transport, departure and arrival time, location, duration of the journey.",using digital tools for collaboration and productivity
Agile project management,Agile project management,knowledge,sector-specific,"The agile project management approach is a methodology for planning, managing and overseeing of ICT resources in order to meet specific goals and using project management ICT tools.",ICT project management methodologies | management and administration
modern power signalling systems,signalling systems used in modern railway infrastructure | railroad power signalling systems | railway power signalling systems | power signalling systems used in rail infrastructure | modern power signaling  systems | power signalling systems used in rail operations | modern power signalling systems used in rail operations | modern rail power signalling systems | modern railway power signalling systems | modern signalling systems used in railway infrastructure | power signalling systems used in modern railway infrastructure | rail power signalling systems,knowledge,sector-specific,Understand traditional and modern signalling systems; operate railway signalling systems.,transport services
network management system tools,network management system tools,knowledge,sector-specific,"The software or hardware tools which enable monitoring, analysis and supervision of individual network components or network parts within a larger network system.",ICT infrastructure | database and network design and administration
use markup languages,use XHTML | use mark-up languages | use HTML | use markup languages,skill/competence,sector-specific,"Utilise computer languages that are syntactically distinguishable from the text, to add annotations to a document, specify layout and process types of documents such as HTML.",programming computer systems
develop automated migration methods,develop automated migration methods,skill/competence,sector-specific,"Create automated transfer of ICT information between storage types, formats and systems to save human resources from performing the task manually.",developing operational policies and procedures
use modern electronic navigational aids,use modern electronic navigation equipment | operate modern electronic navigation equipment | utilise modern electronic navigation equipment | operate modern electronic navigational aids | operate modern electronic navigational equipment | use GPS and radar navigation systems | use modern electronic navigational aids | navigate using modern electronic equipment | utilise modern electronic navigation aids | perform navigation using modern electronic equipment | undertake navigation using modern electronic aids | use radar and GPS navigation systems,skill/competence,sector-specific,Use modern navigational aids such as GPS and radar systems.,operating communications equipment | solve location and navigation problems by using GPS tools
translate formulae into processes,formulae translating into processes | productionising formulae | translating formulae into processes | productionise formulae | translate formulae into processes | formulae productionising,skill/competence,sector-specific,"Translate, by means of computer models and simulations, the specific laboratory formulae and findings into production processes.",entering and transforming information
manage donor database,manage donor databases | manage donor database | handle donor database | manage database of donors | create and update donor database | create and update donor databases,skill/competence,cross-sector,Create and constantly update the database containing personal details and status of donors.,use databases | managing information
RAGE (digital game creation systems),Rage,knowledge,sector-specific,"The software framework that consists of integrated development environments and specialised design tools, designed for the rapid iteration of user-derived computer games.",digital game creation systems | audio-visual techniques and media production
assess integrated domotics systems,choose domotic systems,skill/competence,sector-specific,Understand designs and specifications provided by producers of domotics integrated systems and choose a concept that fulfils specific needs within the project.,analysing and evaluating information and data | think critically
Ruby (computer programming),Ruby-gnome2 | Ruby lang | Ruby | Ruby prog,knowledge,sector-specific,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Ruby.",computer programming | software and applications development and analysis
Common Lisp,Common Lisp,knowledge,sector-specific,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Common Lisp.",software and applications development and analysis | computer programming
collect weather-related data,collecting weather-related data | compile weather-related data | gather weather-related data | assemble weather-related data | collect weather-related data,skill/competence,cross-sector,"Gather data from satellites, radars, remote sensors, and weather stations in order to obtain information about weather conditions and phenomena.",monitoring environmental conditions | manage quantitative data
optimise fleet usability,ensure fleet is used with optimal efficiency | optimize  fleet usability | maximise usability of fleet | ensure fleet optimisation | optimise fleet utilisation | optimise utilisation of fleet | ensure fleet is used to maximum capacity | ensure fleet is used optimally | optimise usability of fleet | maximise fleet usability | ensure fleet is used as efficiently as possible,skill/competence,sector-specific,"Optimise fleet utilisation, visibility, efficiency and profitability through the use of special ship management software.",allocating and controlling physical resources | manage vessel fleet | monitor vehicle fleet operations | plan road fleet maintenance | manage company fleet
Apache Maven,Maven | Apache Maven,knowledge,sector-specific,"The tool Apache Maven is a software program to perform configuration identification, control, status accounting and audit of software during its development and maintenance.",tools for software configuration management | software and applications development and analysis
gather data,data gavering | collect data | assemble data | aggregate data | gathering data | convene data | gather data,skill/competence,cross-sector,Extract exportable data from multiple sources.,gathering information from physical or electronic sources | use data processing techniques
deliver online training,deliver online training,skill/competence,cross-sector,"Provide training by using online technologies, adapting the learning materials, using e-learning methods, supporting the trainees and communicating online. Instruct virtual classrooms.",instruct others | teaching and training
ICT network routing,ICT network routing,knowledge,sector-specific,The processes and techniques for choosing the best paths within an ICT network through which a packet can travel.,database and network design and administration
internal risk management policy,internal risk management policy | risk management internal policy,knowledge,sector-specific,"The internal risk management policies that identify, assess and prioritise risks in an IT environment. The methods used to minimise, monitor and control the possibility and the impact of disastrous events that affect the reaching of business goals.",management and administration
assess ICT knowledge,capture IT knowledge | capture ICT knowledge | assess ICT knowledge,skill/competence,sector-specific,Evaluate the implicit mastery of skilled experts in an ICT system to make it explicit for further analysis and usage.,monitoring and evaluating the performance of individuals | think critically
translate requirement concepts into content,translate requirement concepts into content,skill/competence,sector-specific,Develop digital content by following given requirements and guidelines.,using digital tools for collaboration and productivity | process qualitative information
Lisp,Lisp,knowledge,sector-specific,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Lisp.",computer programming | software and applications development and analysis
maintain database,maintain databases | upkeep database | maintain database | repair database | preserve database | maintaining database | conserve database,skill/competence,cross-sector,Maintain a freelance database that offers extra support to your teams and is able to calculate negotiating costs.,"use databases | managing, gathering and storing digital data | store digital data and systems | carry out calculations"
digital game genres,digital game genres | mechanics of digital games,knowledge,sector-specific,"The classification of video games based on their interaction with the game media, such as simulation games, strategy games, adventure games and arcade games.",audio-visual techniques and media production
automotive engineering,automotive engineering | constructing automobiles | engineering of automotives | automotive technology | vehicle engineering | designing automobiles | engineering of automobiles | engineering of vehicles | motor vehicle engineering,skill/competence,cross-sector,"The discipline of engineering that combines mechanical, electrical, electronic, software and safety engineering to design motor vehicles such as trucks, vans and automobiles.","designing industrial materials, systems or products"
assistive technology in education,,knowledge,occupation-specific,"Digital devices and equipment that support learners with learning, communication or mobility challenges to access educational resources and achieve their full potential. It includes software such as text to speech and optical character recognition.",inter-disciplinary programmes and qualifications involving education
model power electronics,simulate power electronics,skill/competence,occupation-specific,"Model and simulate power electronics systems, products, and components using technical design software. Assess the viability of the product and examine the physical parameters to ensure a successful production process.",designing electrical or electronic systems or equipment
green computing,green computing,knowledge,occupation-specific,"The use of ICT systems in an environmentally responsible and sustainable manner, such as the implementation of energy-efficient servers and central processing units (CPUs), reduction of resources and correct disposal of e-waste.",environmental protection technology
building systems monitoring technology,M&E systems | building systems monitoring technology | building monitoring systems | building monitoring technology systems | building M&E systems | systems of building monitoring technology | lighting systems | HVAC systems | security systems,knowledge,sector-specific,"Computer-based control systems that monitor mechanical and electrical equipment in a building such as HVAC, security and lighting systems.",electronics and automation
transfer uncut audiovisual material to computer,transfer uncut audiovisual material to computer | transfer  to computer uncut audiovisual material | transfer unclipped audiovisual material to computer | transfer audiovisual uncut material to computer | transfer unedited audiovisual material to computer,skill/competence,sector-specific,"Transfer uncut audiovisual materials to a computer, synchronise them and store them.","managing, gathering and storing digital data"
Informatica PowerCenter,Informatica PowerCenter | Informatica Power Center | PowerCenter Informatica,knowledge,sector-specific,"The computer program Informatica PowerCenter is a tool for integration of information from multiple applications, created and maintained by organisations, into one consistent and transparent data structure, developed by the software company Informatica.","data extraction, transformation and loading tools | database and network design and administration"
conduct analysis of ship data,utilise vessel data analysis in decision making | perform data analysis activities on vessel data | conduct data analysis activities on ship data | conduct analysis of vessel data | use ship data analysis in decision making | conduct analysis of ship data | evaluate ship data | perform analysis of ship data | analyse ship data | perform analysis of vessel data,skill/competence,sector-specific,Collect information from a vessel's management software and cross reference it to analyse the data from different points of view and inform decision-making.,analysing business operations | analyse ship operations | report analysis results
